State Name,Count of AICs,Count of ATLs,Population - 2019,% population share of India,Population rank,Area Km2,Area Rank,% share Area,GDP Per Capita 20XX,GDP Per Capita 2020-21,GDP Per Capita 2021-22,GDP Per Capita 2022-23,Aided Schools,Government Schools,Others Schools,Private Schools,Total Schools,Number of Universities,Number of Colleges,No. of Active Companies,Number of recognized Startups,Numbers of Incubators,Category 2020,Startup Category 2020,Category 2021,Startup Category 2021,Innovation Index Score 2021,Category,Innovation Index Score 2020
Manipur,0,119,3091545,0.23,25,22327,25,0.71%,"₹51,180 (US$720)","₹79,797.00","₹84,345.00",,587.0,3073,181.0,1003.0,4844,11,86,909,105,0,,,B,Aspiring Leader,19.37,NE and Hill states,22.78
Meghalaya,0,13,3366710,0.25,24,22429,24,0.71%,"₹66,223 (US$930)","₹84,638.00","₹90,638.00","₹98,572.00",4181.0,7802,466.0,2220.0,14669,13,101,620,37,1,,,B,Best Performer,16.0,NE and Hill states,12.15
Mizoram,0,26,1239244,0.09,30,21081,26,0.67%,"₹107,853 (US$1,500)","1,87,838","1,88,839",,231.0,2564,93.0,1025.0,3913,7,36,118,21,4,Y,Emerging Startup Ecosystems,B,Emerging Startup Ecosystems,13.41,NE and Hill states,16.93
Nagaland,0,26,2249695,0.16,26,16579,27,0.52%,"₹73,276 (US$1,000)","1,26,452","1,42,363",,,2007,,745.0,2752,6,53,299,44,1,Y,Aspiring Leader,B,Aspiring Leader,11.0,NE and Hill states,14.11
Orissa,2,331,46356334,3.38,11,155707,8,4.92%,"₹76,417 (US$1,100)","1,02,166","1,28,873","1,50,676",5770.0,55483,2507.0,4957.0,68717,37,"1,583",17990,1944,36,X,Top Performers,A,Top Performer,11.42,Major States,18.94
Puducherry,1,19,1413542,0.1,29,479,34,0.02%,"₹142,583 (US$2,000)","2,03,178","2,09,890",,33.0,423,,283.0,739,9,154,1430,115,2,,,B,Aspiring Leader,15.88,UT and City states,25.23
Punjab,1,230,30141373,2.2,16,50362,20,1.59%,"₹115,882 (US$1,600)","1,49,193","1,61,888","1,73,873",458.0,19404,280.0,8495.0,28637,39,"1,688",17905,1172,26,X,Aspiring Leaders,A,Leader,15.35,Major States,22.54
Rajasthan,4,511,81032689,5.91,6,342239,1,10.82%,"₹78,570 (US$1,100)","1,15,122","1,35,962","1,56,149",,67578,2493.0,35603.0,105674,103 (highest) 3 2,"3,061 (highest)",40250,3843,45,X,Leaders,A,Aspiring Leader,12.88,Major States,20.83
Sikkim,1,27,690251,0.05,32,7096,30,0.22%,"₹242,002 (US$3,400)","4,12,754","4,72,543",,19.0,854,,417.0,1290,7,32,2,10,3,Y,Emerging Startup Ecosystems,,,13.85,NE and Hill states,20.28
Tamil Nadu,6,975,77841267,5.68,7,130058,10,4.11%,"₹142,941 (US$2,000)","2,12,174","2,41,131","2,73,288",8355.0,37728,630.0,12439.0,59152,66,"3,026",83081,6948,115,X,Emerging Startup Ecosystems,A,Leader,15.69,Major States,37.91
Telangana,5,379,39362732,2.87,12,112077,11,3.54%,"₹143,618 (US$2,000)","2,25,687","2,65,942","3,08,732",707.0,29822,205.0,11621.0,42355,48,"2,140",69808,5648,75,X,Top Performers,A,Top Performer,17.66,Major States,33.23
Tripura,0,27,4169794,0.3,23,10486,28,0.33%,"₹82,632 (US$1,200)","1,19,789","1,40,803",,46.0,4309,247.0,343.0,4945,9,97,572,80,2,,,B,Aspiring Leader,11.43,NE and Hill states,12.84
Uttar Pradesh,4,955,237882725,17.35,1,240928,4,7.62%,"₹44,421 (US$620)","₹61,374.00","₹70,792.00",,8090.0,163142,14570.0,87433.0,273235,90,"6,026",86760,10183,81,X,Emerging Startup Ecosystems,A,Leader,14.22,Major States,22.85
Uttaranchal,0,87,11250858,0.82,21,53483,19,1.69%,"₹155,151 (US$2,200)","1,84,002","2,11,657","2,33,565",616.0,16934,490.0,5519.0,23559,35,"1,113",6910,906,13,X,Aspiring Leaders,A,Leader,17.67,NE and Hill states,23.5
West Bengal,0,242,99609303,7.26,4,88752,13,2.81%,"₹67,300 (US$940)","1,06,510","1,24,798","1,41,373",127.0,82876,3048.0,11777.0,97828,46,"2,714",128424,3585,20,,,,,12.98,Major States,21.69
Dadra and Nagar Haveli,0,4,615724,0.04,33,603,33,0.02%,-1,,,,10.0,300,1.0,35.0,346,,,423,174,0,,,B,Aspiring Leader,12.09,UT and City states,22.74
Daman and Diu,0,4,615724,0.04,33,603,33,0.02%,-1,,,,10.0,300,1.0,35.0,346,,,423,174,0,,,B,Aspiring Leader,12.09,UT and City states,22.74
